YEAR,BRAND,MODEL,KMs_DRIVEN,FUEL_TYPE,OWNER,PRICE,CITY,MONTHLY_EMI
2017,Honda,City,"62,802",Petrol,1st,"7,21,000₹7,58,000",Ahmedabad,"14,096"
2017,Honda,Amaze,"33,511",Petrol,2nd,"4,62,000₹5,23,000",Ahmedabad,"9,032"
2016,Honda,City,"70,833",Petrol,3rd,"5,65,000₹6,29,000",Ahmedabad,"11,046"
2019,Honda,Amaze,"87,157",CNG,1st,"6,00,000₹6,35,000",Ahmedabad,"11,730"
2017,Honda,BR-V,"64,898",Diesel,1st,"6,24,000₹6,81,000",Ahmedabad,"12,199"
2020,Honda,City,"36,212",Petrol,1st,"10,83,000₹12,29,000",Ahmedabad,"20,614"
2015,Honda,Amaze,"1,04,289",Petrol,1st,"3,62,000₹3,97,000",Ahmedabad,"7,077"
2014,Honda,Brio,"63,492",Petrol,1st,"3,85,000₹4,03,000",Ahmedabad,"7,527"
2014,Honda,Amaze,"69,560",Petrol,2nd,"3,71,000₹4,74,000",Ahmedabad,"7,253"
2014,Hyundai,Elite i20,"92,793",Petrol,1st,"5,27,000₹5,49,000",Ahmedabad,"10,303"
2022,Hyundai,Creta,"19,131",Petrol,1st,"10,67,000₹11,51,000",Ahmedabad,"20,309"
2012,Hyundai,i10,"95,392",CNG,1st,"2,96,000",Ahmedabad,"5,787"
2019,Hyundai,Verna,"55,431",CNG,1st,"8,70,000₹9,41,000",Ahmedabad,"16,560"
2010,Hyundai,i10,"1,24,848",Petrol,2nd,"1,77,000₹1,88,000",Ahmedabad,"3,460"
2022,Hyundai,VENUE,"12,610",Petrol,1st,"9,22,000",Ahmedabad,"17,549"
2013,Hyundai,Eon,"58,000",Petrol,3rd,"1,91,000₹1,96,000",Ahmedabad,"3,734"
2016,Hyundai,Elite i20,"66,630",Petrol,2nd,"5,07,000₹5,88,000",Ahmedabad,"9,912"
2010,Hyundai,i20,"66,314",Petrol,1st,"2,72,000",Ahmedabad,"5,318"
2014,Hyundai,i10,"1,05,080",CNG,2nd,"2,96,000₹3,09,000",Ahmedabad,"5,787"
2019,Hyundai,NEW SANTRO,"13,394",Petrol,1st,"5,22,000₹5,48,000",Ahmedabad,"10,205"
2014,Hyundai,New Elantra,"96,579",Diesel,1st,"5,50,000₹5,73,000",Ahmedabad,"10,753"
2015,Hyundai,Grand i10,"72,036",Petrol,2nd,"3,96,000₹4,64,000",Ahmedabad,"7,742"
2019,Hyundai,Creta,"43,804",Petrol,1st,"8,81,000₹9,62,000",Ahmedabad,"16,769"
2016,Hyundai,Creta,"1,01,807",Diesel,2nd,"8,19,000₹8,95,000",Ahmedabad,"15,589"
2012,Hyundai,i20,"76,643",Petrol,2nd,"3,28,000₹3,50,000",Ahmedabad,"6,412"
2014,Hyundai,Xcent,"47,443",Petrol,1st,"4,00,000",Ahmedabad,"7,820"
2020,Hyundai,VENUE,"50,394",Petrol,1st,"7,64,000",Ahmedabad,"14,936"
2022,Hyundai,Creta,"4,236",Petrol,1st,"12,95,000₹13,24,000",Ahmedabad,"24,649"
2015,Hyundai,i10,"76,494",CNG,2nd,"3,40,000₹3,58,000",Ahmedabad,"6,647"
2022,Tata,TIGOR,"10,076",CNG,1st,"8,13,000₹8,52,000",Ahmedabad,"15,475"
2022,Tata,TIGOR,"9,606",Petrol,1st,"8,08,000₹8,46,000",Ahmedabad,"15,380"
2022,Tata,Safari,"48,544",Diesel,1st,"22,52,000₹22,97,000",Ahmedabad,"42,865"
2017,Tata,Tiago,"88,955",CNG,1st,"4,06,000₹4,24,000",Ahmedabad,"7,937"
2018,Tata,Tiago,"56,470",CNG,1st,"4,31,000₹4,56,000",Ahmedabad,"8,426"
2016,Tata,Tiago,"1,10,096",Petrol,1st,"3,32,000₹3,71,000",Ahmedabad,"6,491"
2018,Tata,NEXON,"17,476",Petrol,1st,"6,74,000₹7,20,000",Ahmedabad,"13,177"
2021,Tata,Tiago,"7,660",Petrol,1st,"5,54,000₹5,85,000",Ahmedabad,"10,831"
2017,Tata,TIGOR,"1,10,462",Petrol,1st,"4,08,000₹4,44,000",Ahmedabad,"7,976"
2022,Tata,ALTROZ,"3,094",Petrol,1st,"6,72,000₹7,34,000",Ahmedabad,"13,138"
2020,Tata,ALTROZ,"17,013",Petrol,1st,"6,48,000₹7,21,000",Ahmedabad,"12,669"
2022,Tata,TIGOR,"24,810",CNG,1st,"7,77,000₹8,05,000",Ahmedabad,"15,190"
2020,Tata,ALTROZ,"84,125",Petrol,1st,"6,83,000₹7,03,000",Ahmedabad,"13,353"
2018,Tata,TIGOR,"87,012",Petrol,1st,"4,84,000₹5,34,000",Ahmedabad,"9,462"
2021,Tata,NEXON,"26,606",Diesel,1st,"9,91,000₹10,97,000",Ahmedabad,"18,863"
2021,Tata,ALTROZ,"45,360",Petrol,1st,"5,72,000₹6,05,000",Ahmedabad,"11,183"
2021,Tata,NEXON,"10,667",Petrol,1st,"10,58,200₹11,30,000",Ahmedabad,"20,142"
2022,Tata,Tiago,"25,813",CNG,1st,"6,56,000₹7,11,000",Ahmedabad,"12,825"
2022,Tata,ALTROZ,"15,968",Diesel,1st,"8,58,000₹9,26,000",Ahmedabad,"16,331"
2019,Tata,Tiago,"23,375",Petrol,2nd,"5,67,000₹6,18,000",Ahmedabad,"11,085"
2019,Renault,TRIBER,"33,912",Petrol,1st,"5,72,000₹6,12,000",Ahmedabad,"11,183"
2021,Renault,Kiger,"20,537",Petrol,2nd,"6,36,000₹6,70,000",Ahmedabad,"12,434"
2019,Renault,TRIBER,"33,367",Petrol,2nd,"5,14,000₹5,37,000",Ahmedabad,"10,049"
2022,Renault,Kwid,"4,139",Petrol,1st,"4,98,000₹5,67,000",Ahmedabad,"9,736"
2019,Renault,Kwid,"50,524",Petrol,1st,"3,55,000₹3,75,000",Ahmedabad,"6,940"
2021,Renault,Kiger,"15,987",Petrol,1st,"7,04,000₹7,68,000",Ahmedabad,"13,763"
2019,Renault,Kwid,"74,035",Petrol,1st,"3,32,000₹3,41,000",Ahmedabad,"6,491"
2018,Renault,Kwid,"33,257",Petrol,2nd,"3,41,000₹3,53,000",Ahmedabad,"6,667"
2017,Renault,Duster,"37,457",Petrol,1st,"6,24,000₹6,49,000",Ahmedabad,"12,199"
2021,Renault,Kwid,"20,600",Petrol,1st,"4,34,000₹4,71,000",Ahmedabad,"8,485"
2019,Renault,Kwid,"28,055",Petrol,1st,"4,31,000₹4,55,000",Ahmedabad,"8,426"
2020,Renault,TRIBER,"27,982",Petrol,1st,"6,06,000₹6,45,000",Ahmedabad,"11,847"
2022,Renault,TRIBER,"19,500",Petrol,1st,"6,59,000₹6,78,000",Ahmedabad,"12,884"
2019,Renault,Kwid,"64,974",Petrol,1st,"3,91,000",Ahmedabad,"7,644"
2019,Renault,Kwid,"65,113",Petrol,2nd,"3,59,000₹3,88,000",Ahmedabad,"7,019"
2018,Renault,Kwid,"53,519",Petrol,1st,"3,54,000",Ahmedabad,"6,921"
2022,Renault,TRIBER,"3,138",Petrol,1st,"8,03,000",Ahmedabad,"15,284"
2015,Maruti,Ertiga,"96,184",Petrol,1st,"6,46,000₹6,74,000",Hyderabad,"12,629"
2016,Maruti,Swift Dzire,"36,678",Petrol,1st,"5,36,000₹5,71,000",Hyderabad,"10,479"
2020,Maruti,Dzire,"88,126",Petrol,1st,"6,72,000₹7,20,000",Hyderabad,"13,138"
2021,Maruti,Dzire,"17,294",Petrol,1st,"6,89,000",Hyderabad,"13,470"
2020,Maruti,Swift,"53,991",Petrol,1st,"6,25,000₹6,51,000",Hyderabad,"12,219"
2019,Maruti,Celerio,"84,161",Petrol,2nd,"5,07,000₹5,39,000",Hyderabad,"9,912"
2010,Maruti,Alto,"55,024",Petrol,1st,"1,71,000₹1,83,000",Hyderabad,"3,343"
2017,Maruti,Wagon R 1.0,"54,856",Petrol,2nd,"4,08,000",Hyderabad,"7,976"
2013,Maruti,Swift Dzire,"99,860",Diesel,1st,"4,26,000₹4,66,000",Hyderabad,"8,328"
2019,Maruti,Vitara Brezza,"1,09,271",Diesel,1st,"7,77,000₹8,10,000",Hyderabad,"15,190"
2010,Maruti,Ritz,"63,764",Petrol,1st,"2,95,000",Hyderabad,"5,767"
2021,Maruti,Baleno,"45,356",Petrol,1st,"8,36,000",Hyderabad,"15,912"
2017,Maruti,Dzire,"1,09,752",Diesel,1st,"6,74,000₹7,17,000",Hyderabad,"13,177"
2018,Maruti,Vitara Brezza,"86,219",Diesel,1st,"7,11,000₹7,24,000",Hyderabad,"13,900"
2021,Maruti,Swift,"1,18,937",Petrol,1st,"5,55,000₹6,12,000",Hyderabad,"10,850"
2013,Maruti,Swift,"85,507",Diesel,2nd,"4,10,000₹4,16,000",Hyderabad,"8,016"
2013,Maruti,Wagon R 1.0,"76,369",Petrol,1st,"3,65,000₹3,70,000",Hyderabad,"7,136"
2016,Maruti,Swift Dzire,"87,113",Petrol,1st,"5,23,000₹5,44,000",Hyderabad,"10,225"
2013,Maruti,Swift,"1,21,617",Petrol,2nd,"3,68,000₹3,90,000",Hyderabad,"7,194"
2019,Maruti,Dzire,"97,112",Diesel,1st,"7,70,000₹8,41,000",Hyderabad,"15,054"
2015,Honda,Amaze,"80,687",Petrol,2nd,"4,35,000",Hyderabad,"8,504"
2015,Honda,Amaze,"59,784",Petrol,1st,"4,72,000",Hyderabad,"9,228"
2016,Honda,BR-V,"36,726",Petrol,1st,"7,85,000",Hyderabad,"15,347"
2017,Honda,Brio,"22,180",Petrol,1st,"4,45,000₹4,83,000",Hyderabad,"8,700"
2015,Honda,City,"90,445",Diesel,2nd,"4,69,000₹4,92,000",Hyderabad,"9,169"
2019,Honda,Amaze,"54,042",Petrol,1st,"6,67,000₹7,51,000",Hyderabad,"13,040"
2015,Honda,Amaze,"76,438",Petrol,2nd,"4,16,000₹4,63,000",Hyderabad,"8,133"
2018,Honda,WR-V,"27,581",Petrol,2nd,"6,55,000₹8,52,000",Hyderabad,"12,805"
2017,Honda,City,"59,261",Petrol,1st,"10,05,000₹10,26,000",Hyderabad,"19,129"
2014,Honda,City,"1,09,832",Petrol,2nd,"4,64,000₹5,25,000",Hyderabad,"9,071"
2019,Honda,Amaze,"37,566",Petrol,2nd,"6,22,000₹6,47,000",Hyderabad,"12,160"
2019,Honda,Civic,"48,114",Diesel,1st,"15,37,000₹16,05,000",Hyderabad,"29,255"
2014,Honda,City,"62,015",Petrol,2nd,"5,45,000₹6,22,000",Hyderabad,"10,655"
2012,Honda,Brio,"95,178",Petrol,2nd,"2,67,000₹2,92,000",Hyderabad,"5,220"
2015,Honda,Brio,"82,956",Petrol,2nd,"3,46,000₹3,67,000",Hyderabad,"6,764"
2021,Honda,Amaze,"16,925",Petrol,1st,"7,06,000₹7,50,000",Hyderabad,"13,802"
2013,Honda,Brio,"70,687",Petrol,1st,"3,88,000₹4,05,000",Hyderabad,"7,585"
2014,Honda,City,"79,189",Diesel,2nd,"5,31,000₹5,72,000",Hyderabad,"10,381"
2016,Honda,Brio,"54,515",Petrol,2nd,"3,78,000₹4,19,000",Hyderabad,"7,390"
2018,Honda,City,"75,410",Diesel,1st,"8,36,000₹8,53,000",Hyderabad,"15,912"
2012,Hyundai,i10,"66,044",Petrol,2nd,"3,06,000₹3,19,000",Hyderabad,"5,982"
2011,Hyundai,i20,"89,927",Diesel,2nd,"2,79,000",Hyderabad,"5,455"
2020,Hyundai,GRAND I10 NIOS,"65,955",Petrol,3rd,"6,40,000₹6,64,000",Hyderabad,"12,512"
2014,Hyundai,Xcent,"57,782",Petrol,1st,"4,45,000₹4,66,000",Hyderabad,"8,700"
2020,Hyundai,GRAND I10 NIOS,"33,909",Petrol,3rd,"7,04,000₹7,31,000",Hyderabad,"13,763"
2010,Hyundai,Santro Xing,"81,843",Petrol,1st,"1,73,000₹1,90,000",Hyderabad,"3,382"
2010,Hyundai,i10,"69,541",Petrol,1st,"2,29,000",Hyderabad,"4,477"
2013,Hyundai,i20,"74,743",Petrol,2nd,"3,85,000₹4,15,000",Hyderabad,"7,527"
2015,Hyundai,Elite i20,"83,121",Diesel,2nd,"6,15,000",Hyderabad,"12,023"
2022,Hyundai,NEW I20,"17,827",Petrol,1st,"7,61,000₹8,33,000",Hyderabad,"14,878"
2015,Hyundai,Eon,"25,121",Petrol,1st,"2,79,000₹2,95,000",Hyderabad,"5,455"
2020,Hyundai,Verna,"68,590",Diesel,1st,"12,60,000₹13,05,000",Hyderabad,"23,983"
2019,Hyundai,VENUE,"94,953",Petrol,1st,"9,79,000₹10,06,000",Hyderabad,"18,634"
2020,Hyundai,Elite i20,"51,216",Petrol,1st,"7,64,000",Hyderabad,"14,936"
2017,Hyundai,Eon,"43,914",Petrol,1st,"2,74,000₹2,87,000",Hyderabad,"5,357"
2013,Hyundai,i10,"72,473",Petrol,1st,"2,99,000₹3,33,000",Hyderabad,"5,846"
2010,Hyundai,i10,"65,303",Petrol,1st,"2,47,000₹2,59,000",Hyderabad,"4,829"
2021,Hyundai,Verna,"19,076",Petrol,1st,"10,46,600₹10,90,000",Hyderabad,"19,921"
2010,Hyundai,Santro Xing,"90,566",Petrol,2nd,"1,91,000₹2,11,000",Hyderabad,"3,734"
2019,Hyundai,Verna,"67,370",Diesel,2nd,"10,23,000₹10,98,000",Hyderabad,"19,472"
2017,Tata,Tiago,"38,500",Petrol,1st,"4,36,000",Hyderabad,"8,524"
2021,Tata,NEXON,"22,140",Petrol,1st,"10,28,000",Hyderabad,"19,567"
2020,Tata,Tiago,"16,295",Petrol,2nd,"5,31,000₹5,52,000",Hyderabad,"10,381"
2017,Tata,TIGOR,"94,797",Petrol,1st,"4,90,000₹5,04,000",Hyderabad,"9,580"
2021,Tata,Safari,"39,163",Diesel,1st,"20,04,000₹20,56,000",Hyderabad,"38,144"
2021,Tata,Safari,"31,083",Diesel,1st,"17,46,000₹19,82,000",Hyderabad,"33,234"
2019,Tata,Tiago,"40,689",Petrol,1st,"5,16,000₹5,50,000",Hyderabad,"10,088"
2021,Tata,NEXON,"44,641",Petrol,1st,"8,60,000₹8,96,000",Hyderabad,"16,369"
2021,Tata,TIGOR,"14,867",Petrol,1st,"6,26,000₹6,75,000",Hyderabad,"12,238"
2018,Tata,Tiago,"97,982",Petrol,1st,"4,97,000₹5,90,000",Hyderabad,"9,716"
2020,Tata,ALTROZ,"41,382",Petrol,2nd,"7,06,000₹8,04,000",Hyderabad,"13,802"
2021,Tata,ALTROZ,"61,626",Diesel,1st,"8,31,000₹9,87,000",Hyderabad,"15,817"
2021,Tata,ALTROZ,"12,280",Petrol,1st,"7,44,000₹8,57,000",Hyderabad,"14,545"
2021,Tata,Harrier,"70,076",Diesel,1st,"17,75,000₹20,34,000",Hyderabad,"33,785"
2018,Tata,Tiago,"57,380",Petrol,3rd,"4,92,000₹5,16,000",Hyderabad,"9,619"
2021,Tata,Tiago,"30,224",Petrol,1st,"5,81,000₹6,24,000",Hyderabad,"11,359"
2021,Tata,ALTROZ,"31,750",Petrol,2nd,"7,46,000₹8,10,000",Hyderabad,"14,584"
2022,Tata,NEXON,"11,254",Diesel,1st,"9,77,000₹10,17,000",Hyderabad,"18,596"
2021,Tata,Tiago,"15,606",Petrol,2nd,"7,71,000₹7,77,000",Hyderabad,"15,073"
2022,Tata,NEXON,"55,420",Diesel,1st,"11,23,000₹11,83,000",Hyderabad,"21,375"
2020,Renault,Kwid,"49,893",Petrol,2nd,"4,44,000₹4,70,000",Hyderabad,"8,680"
2017,Renault,Kwid,"65,192",Petrol,1st,"2,93,000₹3,09,000",Hyderabad,"5,728"
2017,Renault,Kwid,"24,092",Petrol,1st,"3,76,000₹3,88,000",Hyderabad,"7,351"
2016,Renault,Kwid,"42,203",Petrol,2nd,"2,90,000₹3,07,000",Hyderabad,"5,670"
2017,Renault,Kwid,"29,011",Petrol,1st,"3,33,000₹3,46,000",Hyderabad,"6,510"
2012,Renault,Duster,"67,879",Diesel,1st,"3,83,000₹4,05,000",Hyderabad,"7,488"
2016,Renault,Kwid,"41,832",Petrol,2nd,"2,96,000₹3,17,000",Hyderabad,"5,787"
2019,Renault,Kwid,"44,363",Petrol,2nd,"3,72,000₹4,51,000",Hyderabad,"7,273"
2013,Renault,Duster,"76,134",Diesel,1st,"4,08,000₹4,32,000",Hyderabad,"7,976"
2018,Renault,Kwid,"74,542",Petrol,2nd,"3,89,000₹4,19,000",Hyderabad,"7,605"
2018,Renault,Kwid,"48,556",Petrol,1st,"3,87,000₹4,05,000",Hyderabad,"7,566"
2019,Renault,TRIBER,"66,518",Petrol,1st,"6,27,000₹6,37,000",Hyderabad,"12,258"
2018,Renault,Kwid,"84,020",Petrol,1st,"3,39,000₹3,46,000",Hyderabad,"6,628"
2022,Renault,TRIBER,"39,316",Petrol,1st,"6,74,000₹6,94,000",Hyderabad,"13,177"
2022,Renault,TRIBER,"29,302",Petrol,1st,"7,70,000₹8,30,000",Hyderabad,"15,054"
2018,Renault,Kwid,"37,830",Petrol,1st,"4,13,000₹4,18,000",Hyderabad,"8,074"
2017,Renault,Kwid,"39,992",Petrol,2nd,"3,34,000₹3,48,000",Hyderabad,"6,530"
2019,Renault,Kwid,"36,221",Petrol,2nd,"4,07,000₹4,18,000",Hyderabad,"7,957"
2019,Renault,Kwid,"37,526",Petrol,1st,"4,14,000₹4,47,000",Hyderabad,"8,094"
2019,Renault,Kwid,"37,634",Petrol,1st,"4,00,000₹4,19,000",Hyderabad,"7,820"
2012,Maruti,Alto 800,"21,677",Petrol,1st,"2,15,000",,"4,203"
2015,Maruti,Swift Dzire,"30,526",Diesel,2nd,"5,69,000₹5,85,000",,"11,124"
2021,Maruti,XL6,"55,714",Petrol,2nd,"9,59,000₹9,77,000",Mumbai,"18,254"
2015,Maruti,Swift,"78,958",Petrol,1st,"3,89,000₹4,22,000",Mumbai,"7,605"
2010,Maruti,Swift Dzire,"62,906",Petrol,2nd,"2,21,000₹2,34,000",Mumbai,"4,321"
2010,Maruti,Alto K10,"59,327",Petrol,2nd,"1,54,000₹1,62,000",Mumbai,"3,011"
2013,Maruti,Ertiga,"49,082",Petrol,2nd,"5,09,000₹5,23,000",Mumbai,"9,951"
2012,Maruti,Zen Estilo,"69,120",CNG,2nd,"1,94,000₹1,99,000",,"3,793"
2014,Maruti,Ertiga,"84,916",CNG,1st,"6,75,000₹6,94,000",Mumbai,"13,196"
2014,Maruti,Wagon R 1.0,"76,533",CNG,3rd,"3,00,000₹3,15,000",Mumbai,"5,865"
2011,Maruti,Swift Dzire,"59,566",Petrol,1st,"2,81,000₹3,02,000",,"5,494"
2015,Maruti,Swift,"52,763",Petrol,1st,"4,73,000₹5,28,000",Mumbai,"9,247"
2016,Maruti,Ciaz,"1,20,582",Diesel,2nd,"5,69,000₹6,19,000",,"11,124"
2014,Maruti,Alto 800,"33,148",Petrol,3rd,"2,09,000₹2,19,000",Mumbai,"4,086"
2014,Maruti,Wagon R 1.0,"1,19,476",CNG,1st,"3,40,000",,"6,647"
2015,Maruti,Ciaz,"62,270",Diesel,2nd,"4,84,000₹5,48,000",Mumbai,"9,462"
2017,Maruti,Swift,"35,029",Petrol,1st,"4,38,000₹4,88,000",,"8,563"
2012,Maruti,Swift Dzire,"45,622",Petrol,1st,"3,28,000₹3,57,000",Mumbai,"6,412"
2014,Maruti,Wagon R 1.0,"1,05,447",CNG,1st,"2,85,000₹3,05,000",Mumbai,"5,572"
2014,Maruti,Celerio,"94,004",CNG,3rd,"3,14,000",,"6,139"
2015,Honda,Amaze,"49,063",Petrol,1st,"3,69,000₹3,91,000",Mumbai,"7,214"
2017,Honda,City,"1,19,183",Petrol,1st,"7,37,000₹7,87,000",,"14,408"
2010,Honda,City,"1,15,080",Petrol,2nd,"2,59,000",Mumbai,"5,063"
2013,Honda,Amaze,"80,324",Petrol,3rd,"2,90,000₹3,04,000",Mumbai,"5,670"
2015,Honda,Jazz,"51,915",Petrol,2nd,"4,25,000₹4,41,000",,"8,309"
2013,Honda,City,"65,752",Petrol,2nd,"3,56,000₹3,77,000",,"6,960"
2019,Honda,Jazz,"15,114",Petrol,1st,"7,16,000₹7,72,000",,"13,998"
2017,Honda,WR-V,"30,995",Petrol,2nd,"5,25,000₹5,84,000",Mumbai,"10,264"
2012,Honda,City,"1,00,637",Petrol,2nd,"3,14,000₹3,33,000",Mumbai,"6,139"
2011,Honda,City,"97,888",Petrol,1st,"3,05,000₹3,10,000",,"5,963"
2013,Honda,Amaze,"94,659",Diesel,2nd,"3,52,000₹3,59,000",Mumbai,"6,882"
2014,Honda,City,"55,320",Petrol,1st,"4,82,000₹5,05,000",Mumbai,"9,423"
2013,Honda,Brio,"25,784",Petrol,2nd,"3,23,200₹3,35,000",Mumbai,"6,319"
2014,Honda,Amaze,"49,056",Petrol,1st,"3,86,000₹3,97,000",,"7,546"
2019,Honda,Amaze,"26,129",Petrol,1st,"6,79,000₹7,25,000",Mumbai,"13,275"
2019,Honda,Civic,"24,741",Petrol,1st,"16,83,000₹20,12,000",Mumbai,"32,034"
2018,Honda,City,"13,267",Petrol,1st,"7,90,000₹8,95,000",,"15,445"
2017,Honda,City,"67,576",Petrol,2nd,"6,11,000₹6,64,000",Mumbai,"11,945"
2011,Honda,City,"91,937",Petrol,1st,"3,02,000",Mumbai,"5,904"
2012,Honda,Jazz,"37,938",Petrol,1st,"2,92,000₹3,04,000",Mumbai,"5,709"
2015,Hyundai,Elite i20,"15,511",Petrol,2nd,"4,46,000₹4,81,000",Mumbai,"8,719"
2015,Hyundai,i20 Active,"41,510",Petrol,1st,"5,38,000",,"10,518"
2011,Hyundai,i20,"52,236",Petrol,1st,"2,33,000₹2,39,000",,"4,555"
2011,Hyundai,i10,"30,854",Petrol,2nd,"1,89,000₹1,94,000",Mumbai,"3,695"
2014,Hyundai,Xcent,"44,709",Petrol,2nd,"4,02,000",,"7,859"
2010,Hyundai,i20,"41,940",Petrol,2nd,"2,27,000₹2,32,000",Mumbai,"4,438"
2016,Hyundai,Grand i10,"1,15,191",Petrol,2nd,"4,87,000₹5,06,000",,"9,521"
2018,Hyundai,Grand i10,"56,030",Petrol,1st,"5,03,000₹5,17,000",,"9,834"
2014,Hyundai,Grand i10,"98,500",Petrol,2nd,"3,37,000₹3,60,000",Mumbai,"6,588"
2011,Hyundai,i20,"95,579",Petrol,2nd,"2,46,000",,"4,809"
2014,Hyundai,Grand i10,"1,11,828",Petrol,1st,"3,43,000",,"6,706"
2017,Hyundai,Creta,"59,964",Diesel,1st,"9,20,000₹9,58,000",Mumbai,"17,511"
2018,Hyundai,Verna,"61,460",Petrol,2nd,"7,72,000₹8,71,000",,"15,093"
2013,Hyundai,Verna,"87,172",Diesel,3rd,"4,13,000",Mumbai,"8,074"
2019,Hyundai,Creta,"38,166",Petrol,3rd,"9,73,800₹10,45,000",Mumbai,"18,535"
2021,Hyundai,AURA,"14,305",CNG,1st,"7,63,000₹8,31,000",Mumbai,"14,917"
2016,Hyundai,Eon,"29,926",Petrol,3rd,"2,62,000₹2,70,000",Mumbai,"5,122"
2011,Hyundai,i10,"34,801",Petrol,1st,"2,94,000₹3,00,000",,"5,748"
2015,Hyundai,Creta,"55,603",Diesel,3rd,"7,86,000₹8,68,000",Mumbai,"15,366"
2016,Hyundai,Verna,"24,495",Petrol,2nd,"7,17,000",,"14,017"
2019,Tata,Harrier,"65,523",Diesel,2nd,"10,99,000₹11,76,000",Mumbai,"20,918"
2022,Tata,PUNCH,"2,155",Petrol,1st,"8,59,000₹9,25,000",Mumbai,"16,350"
2019,Tata,NEXON,"28,058",CNG,3rd,"6,51,000₹7,01,000",Mumbai,"12,727"
2022,Tata,NEXON,"8,619",Petrol,1st,"8,52,000",Mumbai,"16,217"
2018,Tata,NEXON,"83,378",Petrol,1st,"5,74,000₹6,16,000",Mumbai,"11,222"
2021,Tata,ALTROZ,"43,444",Diesel,1st,"8,71,000₹9,75,000",,"16,579"
2018,Tata,TIGOR,"1,16,384",Petrol,1st,"4,46,000₹5,03,000",Mumbai,"8,719"
2019,Tata,NEXON,"42,959",Petrol,1st,"6,85,000₹7,19,000",Mumbai,"13,392"
2019,Tata,Tiago,"20,418",Petrol,1st,"5,71,000₹6,09,000",Mumbai,"11,163"
2016,Tata,Tiago,"38,625",Petrol,1st,"4,35,000",,"8,504"
